,unique_id,name_th,abb
0,C0000000021,บริษัท หลักทรัพย์จัดการกองทุนกสิกรไทย จำกัด,KASSET
1,C0000000023,บริษัท หลักทรัพย์จัดการกองทุนเอ็มเอฟซี จำกัด (มหาชน),MFC
2,C0000000182,บริษัท หลักทรัพย์จัดการกองทุนทหารไทย จำกัด,TMBAM
3,C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,SCBAM
4,C0000000290,บริษัท หลักทรัพย์จัดการกองทุนอเบอร์ดีน สแตนดาร์ด (ประเทศไทย) จำกัด,ABERDEEN
5,C0000000324,บริษัท หลักทรัพย์จัดการกองทุนทิสโก้ จำกัด,TISCOASSET
6,C0000000329,บริษัท หลักทรัพย์จัดการกองทุนรวมบัวหลวง จำกัด,BBLAM
7,C0000000460,บริษัท หลักทรัพย์จัดการกองทุนกรุงไทย จำกัด (มหาชน),KTAM
8,C0000000569,บริษัท หลักทรัพย์จัดการกองทุน วรรณ จำกัด,ONEAM
9,C0000000623,บริษัท หลักทรัพย์จัดการกองทุนยูโอบี (ประเทศไทย) จำกัด,UOBAMTH
10,C0000000709,บริษัท หลักทรัพย์จัดการกองทุนกรุงศรี จำกัด,KSAM
11,C0000000714,บริษัท หลักทรัพย์จัดการกองทุนธนชาต จำกัด,THANACHART FUND
12,C0000005022,บริษัท หลักทรัพย์จัดการกองทุนแอสเซท พลัส จำกัด,ASSETFUND
13,C0000005025,บริษัท หลักทรัพย์จัดการกองทุนเกียรตินาคินภัทร จำกัด,KKPAM
14,C0000005531,บริษัท หลักทรัพย์จัดการกองทุนพรินซิเพิล จำกัด,PRINCIPAL
15,C0000006099,บริษัท หลักทรัพย์จัดการกองทุนเอ็กซ์สปริง จำกัด,S-FUNDS
16,C0000006122,บริษัท หลักทรัพย์จัดการกองทุนรวมฟิลลิป จำกัด,PAMC
17,C0000006185,บริษัท หลักทรัพย์จัดการกองทุนคิง ไว (เอเชีย) จำกัด,MANULIFEAM
18,C0000006646,บริษัท หลักทรัพย์จัดการกองทุนแลนด์ แอนด์ เฮ้าส์ จำกัด,LHFUND
19,C0000021747,บริษัท หลักทรัพย์จัดการกองทุนบางกอกแคปปิตอล จำกัด,BCAP
20,C0000024008,บริษัท หลักทรัพย์จัดการกองทุนทาลิส จำกัด,TALISAM
21,C0000028866,บริษัท หลักทรัพย์จัดการกองทุน วี จำกัด,WEASSET
22,C0000031161,บริษัท หลักทรัพย์จัดการกองทุนเอไอเอ (ประเทศไทย) จำกัด,AIAIMT
