,index,Nature of liabilities,Last Resort ,Funding strategy to support ,Total Percent,Sector risk,UnderratePercentR,Comlexity return,Derivative,Sensitive,FX_Ex,Term to maturity,Asset,rank_AUM,risk_spectrum,AI,invest_country_flag,ประเภทการขายกอง,ratioAI,ratioDI,ประวัติการทำความผิด
0,C0000000021,0.8865248226950354,0,0,3,2.0,3.0,3.0,0.9016393442622952,0,1.0673076923076923,1.0,0,0,0.0,0.0,2,3,1,2,0.0
1,C0000000023,0.7272727272727273,3,3,3,4.0,1.0,0.0,0.7419354838709677,1,0.9607843137254902,1.1153846153846154,3,1,2.0,0.0,3,2,0,0,0.0
2,C0000000182,0.8611111111111112,0,0,3,1.0,2.0,0.0,0.8648648648648649,1,1.05,1.681818181818182,2,2,2.0,3.0,2,2,0,2,0.0
3,C0000000239,0.0,0,0,3,1.0,1.0,0.0,0.9264705882352942,1,0.7088607594936709,0.6170212765957447,0,1,3.0,0.0,2,3,0,0,0.0
4,C0000000290,1.103448275862069,3,3,3,1.0,0.0,0.0,0.0,1,1.0476190476190477,2.2,3,3,0.0,0.0,2,2,0,3,0.0
5,C0000000324,0.5154639175257731,0,0,3,0.0,0.0,0.0,0.4772727272727273,1,1.1029411764705883,1.0,1,3,1.0,0.0,2,1,0,3,0.0
6,C0000000329,0.039473684210526314,0,0,3,2.0,0.0,0.0,0.125,0,0.925925925925926,1.1764705882352942,1,1,1.0,0.0,2,3,2,2,0.0
7,C0000000460,0.740506329113924,0,0,3,1.0,2.0,0.0,0.7551020408163265,1,0.9090909090909092,0.8088235294117647,1,2,2.0,0.0,2,3,2,1,0.0
8,C0000000569,0.796875,3,3,3,0.0,0.0,0.0,0.7,3,1.1428571428571428,1.4545454545454546,0,3,0.0,0.0,2,2,0,1,0.0
9,C0000000623,0.01904761904761905,0,0,3,0.0,1.0,0.0,0.8,2,0.9324324324324323,1.3870967741935485,1,2,2.0,0.0,2,1,0,1,0.0
10,C0000000709,0.7699115044247787,0,0,3,1.0,0.0,0.0,0.4,3,0.4431818181818182,1.2,0,1,1.0,0.0,2,2,0,2,0.0
11,C0000000714,1.2777777777777777,0,0,3,0.0,0.0,0.0,0.7142857142857143,1,0.75,1.64,0,2,1.0,0.0,2,3,3,1,0.0
12,C0000005022,3.0,3,3,3,2.0,0.0,0.0,1.0,3,0.631578947368421,1.1111111111111112,1,3,2.0,0.0,2,2,1,1,0.0
13,C0000005025,0.8235294117647058,0,0,3,1.0,1.0,0.0,0.15384615384615385,0,0.6086956521739131,1.7777777777777777,0,3,0.0,0.0,3,2,0,2,0.0
14,C0000005531,0.6440677966101694,3,3,3,0.0,0.0,0.0,0.9333333333333332,3,0.8043478260869565,2.0,2,2,1.0,0.0,2,1,0,1,0.0
15,C0000006099,0.25,3,3,3,0.0,0.0,0.0,0.0,1,0.0,0.0,1,3,0.0,0.0,3,0,0,3,0.0
16,C0000006122,0.2,3,3,3,4.0,0.0,0.0,0.0,2,1.0,2.0,2,3,0.0,0.0,2,0,0,3,0.0
17,C0000006185,0.7857142857142857,3,3,3,0.0,0.0,0.0,0.3333333333333333,1,0.9,3.0,1,3,0.0,0.0,2,0,0,3,0.0
18,C0000006646,0.5777777777777777,3,3,3,0.0,0.0,0.0,0.6666666666666666,3,0.7714285714285715,1.25,1,3,1.0,0.0,2,2,0,2,0.0
19,C0000021747,0.06666666666666667,3,3,3,0.0,0.0,0.0,0.0,3,1.0454545454545454,1.0,2,3,1.0,0.0,3,0,0,1,0.0
20,C0000024008,1.3333333333333333,3,3,3,4.0,0.0,0.0,0.0,1,0.0,3.0,2,3,0.0,0.0,3,0,0,3,0.0
21,C0000028866,0.24,3,3,3,4.0,0.0,0.0,1.0833333333333333,2,0.7916666666666666,1.1666666666666667,1,3,1.0,0.0,2,2,0,3,0.0
22,C0000031161,0.7272727272727273,3,3,3,4.0,0.0,0.0,0.0,3,0.75,2.333333333333333,2,3,1.0,0.0,2,0,0,3,0.0
